Player;3ptProf;OffensiveLoad;TS;FTFGdist;ORp;DRp;ASTp;TOVp;STp;Opp2p
MAINOLDI, LEO 2013 BAS;0.3703690470949245;0.2585745533047994;0.6032219465413785;0.05128205128205128;0.1258741258741259;0.3950617283950617;0.14228989099370246;0.04445359763161282;0.1954584538419448;0.25
BJELICA, MILKO 2013 BAS;0.352793385850245;0.5745423145420151;0.9054873666963696;0.328125;0.4819981998199821;0.4666666666666667;0.20102190302640513;0.28611478392269535;0.11500781896789623;0.6808510638297872
VORONTSEVICH, ANDREY 2013 CSK;0.39970392695365037;0.32620116124367277;0.8358141632837166;0.27848101265822783;0.3898287810843865;0.5154639175257731;0.21531013499937812;0.11881215368243367;0.28391308835672996;0.6136363636363636
MILUTINOV, NIKOLA 2013 PAR;0.0;0.28199018370871126;0.7001889338731444;0.3125;0.5405844155844156;0.25196850393700787;0.20718252390001035;0.18031592879463063;0.09057157345696899;0.5125
LIGHTY, DAVID 2013 NTR;0.3461023957812942;0.45922161348328544;0.650869699609408;0.26865671641791045;0.24642090193271296;0.4594594594594595;0.3393654240559778;0.2504350852767142;0.22691798101530028;0.4634146341463415
TOOLSON, RYAN 2013 MAL;0.38461113116471046;0.45367984374478265;0.6806780016792611;0.13333333333333333;0.031755915317559155;0.16666666666666666;0.21506116207951073;0.2555078429815011;0.10900649548803348;0.4264705882352941
THOMPSON, DEON 2013 MUN;0.09960364966312829;0.4509166068270116;0.6311971615251316;0.3111111111111111;0.853512396694215;0.36036036036036034;0.09963835492223393;0.26810021930250155;0.166822336380012;0.46564885496183206
LAWAL, GANI 2013 MIL;0.0;0.34587670526114234;0.8419538053767512;0.632183908045977;0.6089233347297863;0.5252525252525253;0.01020489602832557;0.21427939896787762;0.14313763652600003;0.5977011494252874
HAIRSTON, MALIK 2013 GAL;0.24213540180520277;0.4198121520223837;0.6334271941412315;0.2919254658385093;0.24906085649887305;0.14606741573033707;0.2300740195477038;0.2576016122838474;0.13279958574814282;0.46616541353383456
GONLUM, KEREM 2013 IST;0.0;0.33224822782155994;0.7039849839005747;0.4805194805194805;0.3915847665847666;0.4811320754716981;0.0795767974087328;0.23926383555807268;0.26847002684163435;0.5526315789473685
LORBEK, ERAZEM 2013 BAR;0.3512345195255241;0.4374908821688596;0.710917803285363;0.21138211382113822;0.2674825174825175;0.4044943820224719;0.1265948110978601;0.16988217131700228;0.055784225144731116;0.5465116279069767
HANGA, ADAM 2013 BAS;0.28550677404213337;0.3686264281990334;0.6748656451254719;0.36764705882352944;0.14339268978444236;0.3013698630136986;0.2324002527093357;0.28742634575052434;0.35643660584698317;0.55
OLESON, BRAD 2013 BAR;0.4461515287127926;0.43739635370209656;0.7809369793198079;0.23076923076923078;0.0841275659824047;0.21875;0.23892745218639255;0.1010041139425608;0.20628351436821118;0.47692307692307695
KANGUR, KRISTJAN 2013 MIL;0.36840938083581076;0.25363458186250604;0.7104566050888812;0.17857142857142858;0.20675675675675678;0.25609756097560976;0.12200464077375144;0.11826934366560996;0.17600230868855227;0.3888888888888889
MAVROKEFALIDIS, LOUKAS 2013 PAN;0.2065180150083385;0.5706778048579008;0.8608880334505874;0.5;0.2243401759530792;0.48717948717948717;0.24056834286272785;0.3918020816574052;0.26524171948341246;0.625
BJELICA, MILKO 2013 IST;0.2777555933128603;0.4990709393321788;0.710449016443117;0.16037735849056603;0.19229157938835362;0.22448979591836735;0.24346050849701156;0.32522162644714014;0.30238229603353756;0.5571428571428572
TEPIC, MILENKO 2013 PAR;0.34584859002979684;0.3507494886333581;0.6494436710797816;0.10294117647058823;0.07761769480519481;0.23275862068965517;0.3183034703978117;0.351611941611404;0.19468044728621062;0.4444444444444444
WRIGHT, ZACH 2013 PAN;0.0;0.5271458348778757;0.6345556082398187;0.25;0.29805194805194807;0.35;0.47000835421888054;0.3733056618457747;0.35158886389201344;0.4852941176470588
PAVLOVIC, SASHA 2013 PAR;0.3124726744529891;0.7081186609736426;0.6163634981277679;0.15942028985507245;0.13771377137713772;0.24193548387096775;0.329605130007776;0.29816967883043627;0.4468669719647045;0.4339622641509434
AYON, GUSTAVO 2014 MAD;0.0;0.43414518514234446;0.8381503560576187;0.19760479041916168;0.5248713550600344;0.5724137931034483;0.34135357607545186;0.28140644555694616;0.4738400880249404;0.6227544910179641
BOUROUSIS, IOANNIS 2014 MAD;0.16321138819897774;0.46019125634435176;0.7266294989173614;0.4;0.4210150835711374;0.825;0.25800333120547086;0.3269993773604628;0.3761564497931553;0.5368421052631579
FERNANDEZ, RUDY 2014 MAD;0.36029388735528645;0.5146458311068909;0.747938199365119;0.2791666666666667;0.15877957658779576;0.3439153439153439;0.35151433807875304;0.18787495022423575;0.46423197185851084;0.5
LLULL, SERGIO 2014 MAD;0.38129229515080515;0.5322363436229582;0.7551709045544845;0.22131147540983606;0.04549702633814784;0.1981981981981982;0.6232520393138435;0.12430578301197491;0.2467767531462679;0.5142857142857142
ANDERSON, JAMES 2014 ZAL;0.3309351071205428;0.599352603505832;0.6563798358925359;0.19936708860759494;0.13696041376566542;0.5223880597014925;0.3019017772817035;0.30481704666562226;0.2937387422664265;0.4519774011299435
JANKUNAS, PAULIUS 2014 ZAL;0.2858364871063479;0.3771489763512529;0.7611238812926057;0.4931506849315068;0.21904080171796708;0.7485029940119761;0.1711286752490723;0.30695638030381;0.23527474595408354;0.5462962962962963
JAVTOKAS, ROBERTAS 2014 ZAL;0.0;0.30209779501620854;0.6231407182066048;0.2540983606557377;0.3048567870485679;0.4444444444444444;0.21177138257427694;0.23912763195970513;0.1780995591136689;0.4661016949152542
LEKAVICIUS, LUKAS 2014 ZAL;0.3164276142586982;0.44629888570573095;0.6424018365408706;0.23853211009174313;0.176213144963145;0.2014388489208633;0.5154352226720648;0.3993934532210951;0.18676243589105213;0.4411764705882353
